language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Beijing		big	1202	1202	ta⁵¹	53	t a ⁵¹	
Jinan		big	1202	1202	ta²¹	53	t a ²¹	
Shenyang		big	1202	1202	ta⁴¹	53	t a ⁴¹	
Xian		big	1202	1202	tɑ⁴⁵	53	t ɑ ⁴⁵	
Chengdu		big	1202	1202	ta¹³	53	t a ¹³	
Kunming		big	1202	1202	ta¹³	53	t a ¹³	
Hefei		big	1202	1202	ta⁵³	53	t a ⁵³	
Yangzhou		big	1202	1202	tɑ⁵⁵	53	t ɑ ⁵⁵	
Suzhou		big	1202	1202	dəu³¹	53	d ə u ³¹	
Wenzhou		big	1202	1202	du¹¹	53	d u ¹¹	
Changsha		big	1202	1202	tai²¹	53	t a i ²¹	
Nanchang		big	1202	1202	tʰai³¹	53	tʰ a i ³¹	
Meixian		big	1202	1202	tʰai⁴²	53	tʰ a i ⁴²	
Guangzhou		big	1202	1202	tai²²	53	t a i ²²	
Yangjiang		big	1202	1202	tai⁴⁵⁴	53	t a i ⁴⁵⁴	
Xiamen		big	1202	1202	tua³³	53	t u a ³³	
Chaozhou		big	1202	1202	tua¹¹	53	t u a ¹¹	
Fuzhou		big	1202	1202	tuai²⁴²	53	t u a i ²⁴²	
Beijing		dark	706	706	xei⁵⁵	88	x e i ⁵⁵	
Jinan		dark	706	706	xei²¹³	88	x e i ²¹³	
Jinan		dark	706	706	ŋæ̃²¹	90	ŋ æ̃ ∼ ²¹	
Shenyang		dark	706	706	an⁴¹	90	a n ⁴¹	
Xian		dark	706	706	ŋæ̃⁴⁵	90	ŋ æ̃ ∼ ⁴⁵	
Chengdu		dark	706	706	xe³¹	88	x e ³¹	
Kunming		dark	706	706	xə³¹	88	x ə ³¹	
Hefei		dark	706	706	xɐʔ⁴	88	x ɐ ʔ ⁴	
Yangzhou		dark	706	706	ɛ̃⁵⁵	90	ɛ̃ ∼ ⁵⁵	
Yangzhou		dark	706	706	xəʔ⁴	88	x ə ʔ ⁴	
Suzhou		dark	706	706	ø⁵¹³	90	ø ⁵¹³	
Suzhou		dark	706	706	hɤʔ⁴	88	h ɤ ʔ ⁴	
Wenzhou		dark	706	706	ø¹²	90	ø ¹²	
Changsha		dark	706	706	ŋan⁵⁵	90	ŋ a n ⁵⁵	
Nanchang		dark	706	706	ŋɔn⁵⁵	90	ŋ ɔ n ⁵⁵	
Meixian		dark	706	706	am⁴²	90	a m ⁴²	
Guangzhou		dark	706	706	hɐk⁵	88	h ɐ k ⁵	
Yangjiang		dark	706	706	ɐm²⁴	90	ɐ m ²⁴	
Xiamen		dark	706	706	am¹¹	90	a m ¹¹	
Chaozhou		dark	706	706	am²¹³	90	a m ²¹³	
Fuzhou		dark	706	706	aŋ²¹³	90	a ŋ ²¹³	
Beijing		full	1429	1429	man²¹⁴	78	m a n ²¹⁴	
Jinan		full	1429	1429	mæ̃⁵⁵	78	m æ̃ ∼ ⁵⁵	
Shenyang		full	1429	1429	man²¹³	78	m a n ²¹³	
Xian		full	1429	1429	mæ̃⁵³	78	m æ̃ ∼ ⁵³	
Chengdu		full	1429	1429	man⁵³	78	m a n ⁵³	
Kunming		full	1429	1429	mã⁵³	78	m ã ∼ ⁵³	
Hefei		full	1429	1429	mʊ̃²⁴	78	m ʊ̃ ∼ ²⁴	
Yangzhou		full	1429	1429	mõ⁴²	78	m õ ∼ ⁴²	
Suzhou		full	1429	1429	mø³¹	78	m ø ³¹	
Wenzhou		full	1429	1429	mø²⁴	78	m ø ²⁴	
Changsha		full	1429	1429	mõ⁴¹	78	m õ ∼ ⁴¹	
Nanchang		full	1429	1429	mɔn²¹³	78	m ɔ n ²¹³	
Meixian		full	1429	1429	man⁴⁴	78	m a n ⁴⁴	
Guangzhou		full	1429	1429	mun²³	78	m u n ²³	
Yangjiang		full	1429	1429	mei²⁴	79	m e i ²⁴	
Xiamen		full	1429	1429	mũã⁵¹	78	m ũ ã ∼ ⁵¹	
Chaozhou		full	1429	1429	mũã⁵³	78	m ũ ã ∼ ⁵³	
Chaozhou		full	1429	1429	tĩ³⁵	80	t ĩ ∼ ³⁵	
Fuzhou		full	1429	1429	paʔ⁴	81	p a ʔ ⁴	
Suzhou		hard	1884	1884	ŋaŋ³¹	700	ŋ a ŋ ³¹	
Beijing		hard	1884	1884	iŋ⁵¹	700	i ŋ ⁵¹	
Jinan		hard	1884	1884	iŋ²¹	700	i ŋ ²¹	
Shenyang		hard	1884	1884	iŋ⁴¹	700	i ŋ ⁴¹	
Xian		hard	1884	1884	ȵiŋ⁴⁵	700	nʲ i ŋ ⁴⁵	
Chengdu		hard	1884	1884	ŋən¹³	700	ŋ ə n ¹³	
Kunming		hard	1884	1884	ə̃¹³	700	ə̃ ∼ ¹³	
Hefei		hard	1884	1884	ʐən⁵³	700	ʐ ə n ⁵³	
Yangzhou		hard	1884	1884	iŋ⁵⁵	700	i ŋ ⁵⁵	
Wenzhou		hard	1884	1884	ŋɛ¹¹	700	ŋ ɛ ¹¹	
Changsha		hard	1884	1884	ŋən²¹	700	ŋ ə n ²¹	
Nanchang		hard	1884	1884	ŋaŋ³¹	700	ŋ a ŋ ³¹	
Meixian		hard	1884	1884	ŋaŋ⁴²	700	ŋ a ŋ ⁴²	
Guangzhou		hard	1884	1884	ŋaŋ²²	700	ŋ a ŋ ²²	
Yangjiang		hard	1884	1884	ŋaŋ⁴⁵⁴	700	ŋ a ŋ ⁴⁵⁴	
Xiamen		hard	1884	1884	ŋĩ³³	700	ŋ ĩ ∼ ³³	
Chaozhou		hard	1884	1884	ŋe³⁵	700	ŋ e ³⁵	
Fuzhou		hard	1884	1884	ŋaiŋ²⁴²	700	ŋ a i ŋ ²⁴²	
Beijing		inside	1606	1606	li²¹⁴₂₁tʰou⁰	925	l i ²¹⁴ tʰ o u ⁰	
Beijing		inside	1606	1606	li²¹⁴₂₁pianr⁰	926	l i ²¹⁴ p i a n r ⁰	
Jinan		inside	1606	1606	li⁵⁵pɛr⁰	926	l i ⁵⁵ p ɛ r ⁰	
Shenyang		inside	1606	1606	li²¹³₂₁tʰou⁰	925	l i ²¹³ tʰ o u ⁰	
Xian		inside	1606	1606	li⁵³tʰou⁰	925	l i ⁵³ tʰ o u ⁰	
Chengdu		inside	1606	1606	xəu¹³₅₃tʰəu³¹	930	x ə u ¹³ tʰ ə u ³¹	
Chengdu		inside	1606	1606	i⁵³tʰəu³¹	925	i ⁵³ tʰ ə u ³¹	
Kunming		inside	1606	1606	i⁵³ʂəu⁵³	927	i ⁵³ ʂ ə u ⁵³	
Hefei		inside	1606	1606	zๅ²⁴tʰɯ⁰	925	z ɿ ²⁴ tʰ ɯ ⁰	
