language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Beijing		black	163	163	xei⁵⁵	91	x e i ⁵⁵	
Jinan		black	163	163	xei²¹³	91	x e i ²¹³	
Shenyang		black	163	163	xei³³	91	x e i ³³	
Xian		black	163	163	xei²¹	91	x e i ²¹	
Chengdu		black	163	163	xe³¹	91	x e ³¹	
Kunming		black	163	163	xə³¹	91	x ə ³¹	
Hefei		black	163	163	xɐʔ⁴	91	x ɐ ʔ ⁴	
Yangzhou		black	163	163	xəʔ⁴	91	x ə ʔ ⁴	
Suzhou		black	163	163	hɤʔ⁴	91	h ɤ ʔ ⁴	
Wenzhou		black	163	163	hɛ²³	91	h ɛ ²³	
Changsha		black	163	163	xə²⁴	91	x ə ²⁴	
Nanchang		black	163	163	hɛt⁵	91	h ɛ t ⁵	
Nanchang		black	163	163	u⁴²	92	u ⁴²	
Meixian		black	163	163	vu⁴⁴	92	v u ⁴⁴	
Guangzhou		black	163	163	hɐk⁵	91	h ɐ k ⁵	
Yangjiang		black	163	163	hɐk²⁴	91	h ɐ k ²⁴	
Xiamen		black	163	163	ɔ⁵⁵	92	ɔ ⁵⁵	
Chaozhou		black	163	163	ou³³	92	o u ³³	
Fuzhou		black	163	163	u⁴⁴	92	u ⁴⁴	
Beijing		dark	706	706	xei⁵⁵	88	x e i ⁵⁵	
Jinan		dark	706	706	xei²¹³	88	x e i ²¹³	
Jinan		dark	706	706	ŋæ̃²¹	90	ŋ æ̃ ∼ ²¹	
Shenyang		dark	706	706	an⁴¹	90	a n ⁴¹	
Xian		dark	706	706	ŋæ̃⁴⁵	90	ŋ æ̃ ∼ ⁴⁵	
Chengdu		dark	706	706	xe³¹	88	x e ³¹	
Kunming		dark	706	706	xə³¹	88	x ə ³¹	
Hefei		dark	706	706	xɐʔ⁴	88	x ɐ ʔ ⁴	
Yangzhou		dark	706	706	ɛ̃⁵⁵	90	ɛ̃ ∼ ⁵⁵	
Yangzhou		dark	706	706	xəʔ⁴	88	x ə ʔ ⁴	
Suzhou		dark	706	706	ø⁵¹³	90	ø ⁵¹³	
Suzhou		dark	706	706	hɤʔ⁴	88	h ɤ ʔ ⁴	
Wenzhou		dark	706	706	ø¹²	90	ø ¹²	
Changsha		dark	706	706	ŋan⁵⁵	90	ŋ a n ⁵⁵	
