language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Beijing		all	98	98	tou⁵⁵	432	t o u ⁵⁵	
Beijing		all	98	98	tɕʰyan³⁵	433	tɕʰ y a n ³⁵	
Jinan		all	98	98	tou²¹³	432	t o u ²¹³	
Shenyang		all	98	98	tou³³	432	t o u ³³	
Xian		all	98	98	tou²¹	432	t o u ²¹	
Chengdu		all	98	98	təu⁴⁴	432	t ə u ⁴⁴	
Kunming		all	98	98	tu⁴⁴	432	t u ⁴⁴	
Hefei		all	98	98	tu²¹²	432	t u ²¹²	
Yangzhou		all	98	98	tu³¹	432	t u ³¹	
Suzhou		all	98	98	zɛ²⁴	434	z ɛ ²⁴	
Wenzhou		all	98	98	o²³	435	o ²³	
Changsha		all	98	98	xa²¹	436	x a ²¹	
Nanchang		all	98	98	tu⁴²	432	t u ⁴²	
Meixian		all	98	98	tu⁴⁴	432	t u ⁴⁴	
Guangzhou		all	98	98	ʃai³³	437	ʃ a i ³³	
Yangjiang		all	98	98	tou³³	432	t o u ³³	
Chaozhou		all	98	98	tai³⁵₂₁ke³³	628	t a i ³⁵ k e ³³	
Xiamen		all	98	98	lɔŋ⁵¹₅₅	105	l ɔ ŋ ⁵¹	
Chaozhou		all	98	98	loŋ⁵³	105	l o ŋ ⁵³	
Fuzhou		all	98	98	tu⁴⁴	432	t u ⁴⁴	
Beijing		all	98	98	ta⁵¹xuor²¹⁴	625	t a ⁵¹ x u o r ²¹⁴	
Jinan		all	98	98	ta²¹xuər⁵⁵	625	t a ²¹ x u ə r ⁵⁵	
Shenyang		all	98	98	ta⁴¹xuər²¹³	625	t a ⁴¹ x u ə r ²¹³	
Xian		all	98	98	tɑ⁴⁵tɕiɑ⁰	628	t ɑ ⁴⁵ tɕ i ɑ ⁰	
Chengdu		all	98	98	ta¹³tɕia⁴⁴	628	t a ¹³ tɕ i a ⁴⁴	
Kunming		all	98	98	ta¹³tɕia⁴⁴	628	t a ¹³ tɕ i a ⁴⁴	
Hefei		all	98	98	ta⁵³tɕia²¹²	628	t a ⁵³ tɕ i a ²¹²	
Yangzhou		all	98	98	tɑ⁵⁵kɑ⁰	628	t ɑ ⁵⁵ k ɑ ⁰	
Suzhou		all	98	98	dɒ³¹₂₂kɒ⁴⁴	628	d ɒ ³¹ k ɒ ⁴⁴	
Wenzhou		all	98	98	da¹¹ko⁴⁴naŋ⁰	629	d a ¹¹ k o ⁴⁴ n a ŋ ⁰	
Changsha		all	98	98	tai²¹ka³³	628	t a i ²¹ k a ³³	
Nanchang		all	98	98	tʰai³¹ka⁴²	628	tʰ a i ³¹ k a ⁴²	
Nanchang		all	98	98	tʰai³¹kan⁰	626	tʰ a i ³¹ k a n ⁰	
Meixian		all	98	98	tsʰɛ¹²ka⁴⁴	246	tsʰ ɛ ¹² k a ⁴⁴	
Guangzhou		all	98	98	tai²²ka⁵³	628	t a i ²² k a ⁵³	
Guangzhou		all	98	98	tai²²tʃʊŋ³³	627	t a i ²² tʃ ʊ ŋ ³³	
Yangjiang		all	98	98	tai⁴⁵⁴ka³³	628	t a i ⁴⁵⁴ k a ³³	
Xiamen		all	98	98	tai³³₁₁ke³³	628	t a i ³³ k e ³³	
Fuzhou		all	98	98	tai²⁴²₄₄a⁴⁴nøyŋ⁵²	629	t a i ²⁴² a ⁴⁴ n ø y ŋ ⁵²	
Fuzhou		all	98	98	kɔʔ²³₃₁nøyŋ⁵²	247	k ɔ ʔ ²³ n ø y ŋ ⁵²	
Beijing		big	1202	1202	ta⁵¹	53	t a ⁵¹	
Jinan		big	1202	1202	ta²¹	53	t a ²¹	
Shenyang		big	1202	1202	ta⁴¹	53	t a ⁴¹	
Xian		big	1202	1202	tɑ⁴⁵	53	t ɑ ⁴⁵	
Chengdu		big	1202	1202	ta¹³	53	t a ¹³	
Kunming		big	1202	1202	ta¹³	53	t a ¹³	
Hefei		big	1202	1202	ta⁵³	53	t a ⁵³	
Yangzhou		big	1202	1202	tɑ⁵⁵	53	t ɑ ⁵⁵	
Suzhou		big	1202	1202	dəu³¹	53	d ə u ³¹	
Wenzhou		big	1202	1202	du¹¹	53	d u ¹¹	
Changsha		big	1202	1202	tai²¹	53	t a i ²¹	
Nanchang		big	1202	1202	tʰai³¹	53	tʰ a i ³¹	
Meixian		big	1202	1202	tʰai⁴²	53	tʰ a i ⁴²	
Guangzhou		big	1202	1202	tai²²	53	t a i ²²	
Yangjiang		big	1202	1202	tai⁴⁵⁴	53	t a i ⁴⁵⁴	
Xiamen		big	1202	1202	tua³³	53	t u a ³³	
Chaozhou		big	1202	1202	tua¹¹	53	t u a ¹¹	
Fuzhou		big	1202	1202	tuai²⁴²	53	t u a i ²⁴²	
Beijing		dirty	1230	1230	tsaŋ⁵⁵	120	ts a ŋ ⁵⁵	
Jinan		dirty	1230	1230	tsaŋ²¹³	120	ts a ŋ ²¹³	
