language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Tasha_Tujia		bite	1403	1403	ka²⁴	9	k a ²⁴	
Duogu_Tujia		bite	1403	1403	ka²⁴	9	k a ²⁴	
Boluo_Tujia		bite	1403	1403	go¹³	9	g o ¹³	
Tasha_Tujia		dog	2009	2009	xa²¹+li̯ɛ²¹	24	x a ²¹ l j ɛ ²¹	
Duogu_Tujia		dog	2009	2009	xa⁵³+lie²¹	24	x a ⁵³ l i e ²¹	
Dianfang_Tujia		dog	2009	2009	xa⁵⁵+le²¹	24	x a ⁵⁵ l e ²¹	
Boluo_Tujia		dog	2009	2009	ʦʰe⁵³	25	tsʰ e ⁵³	
Tanxi_Tujia		dog	2009	2009	ʦʰe⁵⁵	25	tsʰ e ⁵⁵	
Tasha_Tujia		ear	1247	1247	ɤŋ²¹+ʨʰi̯ɛ²⁴	29	ɤ ŋ ²¹ tɕʰ j ɛ ²⁴	
Duogu_Tujia		ear	1247	1247	ũ²¹+ʨʰie⁴⁴	29	ũ ∼ ²¹ tɕʰ i e ⁴⁴	
Dianfang_Tujia		ear	1247	1247	ẽ²¹+ʨʰe³⁵	29	ẽ ∼ ²¹ tɕʰ e ³⁵	
Boluo_Tujia		ear	1247	1247	ʦa²¹+po⁵³	30	ts a ²¹ p o ⁵³	
Tanxi_Tujia		ear	1247	1247	ʦã²¹+pʉ⁵⁵	30	ts ã ∼ ²¹ p ʉ ⁵⁵	
Tasha_Tujia		eat	1336	1336	ka²⁴	32	k a ²⁴	
Duogu_Tujia		eat	1336	1336	ka²⁴	32	k a ²⁴	
Dianfang_Tujia		eat	1336	1336	ka³⁵	32	k a ³⁵	
Boluo_Tujia		eat	1336	1336	ɣɨe¹³	33	ɣ ɨ e ¹³	
Tanxi_Tujia		eat	1336	1336	ɣɨe³⁵	33	ɣ ɨ e ³⁵	
Tasha_Tujia		fish	227	227	sɔŋ²⁴	39	s ɔ ŋ ²⁴	
Duogu_Tujia		fish	227	227	sũ²⁴	39	s ũ ∼ ²⁴	
Dianfang_Tujia		fish	227	227	sũ³⁵	39	s ũ ∼ ³⁵	
Boluo_Tujia		fish	227	227	si²¹+ŋe²¹	40	s i ²¹ ŋ e ²¹	
Tanxi_Tujia		fish	227	227	si²¹+ŋɨ²¹	40	s i ²¹ ŋ ɨ ²¹	
Tasha_Tujia		hear	1408	1408	ɕi²¹	53	ɕ i ²¹	
Duogu_Tujia		hear	1408	1408	zu²¹	54	z u ²¹	
Dianfang_Tujia		hear	1408	1408	zu²¹	54	z u ²¹	
Boluo_Tujia		hear	1408	1408	xo³³+zi³³	55	x o ³³ z i ³³	
Tanxi_Tujia		hear	1408	1408	ħo³³+zi³³	55	ħ o ³³ z i ³³	
Tasha_Tujia		one	1493	1493	la²⁴	95	l a ²⁴	
Duogu_Tujia		one	1493	1493	na²⁴	95	n a ²⁴	
Dianfang_Tujia		one	1493	1493	na³⁵	95	n a ³⁵	
Boluo_Tujia		one	1493	1493	la³³	95	l a ³³	
Tanxi_Tujia		one	1493	1493	la⁵⁵	95	l a ⁵⁵	
Tasha_Tujia		red	156	156	mi̯ɛn⁵⁵+ʨi̯ɛ⁵⁵	98	m j ɛ n ⁵⁵ tɕ j ɛ ⁵⁵	
Duogu_Tujia		red	156	156	miã⁵³+ʨie⁴⁴	98	m i ã ∼ ⁵³ tɕ i e ⁴⁴	
Dianfang_Tujia		red	156	156	miã⁵⁵+ʨe⁵⁵	98	m i ã ∼ ⁵⁵ tɕ e ⁵⁵	
Boluo_Tujia		red	156	156	bo²¹+ni²¹	99	b o ²¹ n i ²¹	
Tanxi_Tujia		red	156	156	bo³³+ni¹³	99	b o ³³ n i ¹³	
Tasha_Tujia		road	667	667	la²¹	100	l a ²¹	
Dianfang_Tujia		road	667	667	la⁵⁵	100	l a ⁵⁵	
Tanxi_Tujia		road	667	667	lo³³	100	l o ³³	
Tasha_Tujia		seed	714	714	ni̯ɛ⁵⁵+laŋ⁵⁵	109	n j ɛ ⁵⁵ l a ŋ ⁵⁵	
Duogu_Tujia		seed	714	714	pu²⁴+li⁵³	110	p u ²⁴ l i ⁵³	
Dianfang_Tujia		seed	714	714	ne⁵⁵+nã⁵⁵	109	n e ⁵⁵ n ã ∼ ⁵⁵	
Boluo_Tujia		seed	714	714	a³³+lie³³	111	a ³³ l i e ³³	
Tanxi_Tujia		seed	714	714	ʔa³³+le³³	111	ʔ a ³³ l e ³³	
Tasha_Tujia		sit	1416	1416	ɔŋ²¹	112	ɔ ŋ ²¹	
Duogu_Tujia		sit	1416	1416	ũ²¹	112	ũ ∼ ²¹	
Dianfang_Tujia		sit	1416	1416	ũ²¹	112	ũ ∼ ²¹	
Boluo_Tujia		sit	1416	1416	ɣoʉ¹³	112	ɣ o ʉ ¹³	
Tanxi_Tujia		sit	1416	1416	ʔʉ³⁵	112	ʔ ʉ ³⁵	
Tasha_Tujia		warm	1232	1232	ki²¹	139	k i ²¹	
Duogu_Tujia		warm	1232	1232	kɨ²¹	139	k ɨ ²¹	
Dianfang_Tujia		warm	1232	1232	kɨ²¹	139	k ɨ ²¹	
