language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Beijing		bad	1292	1292	xuai⁵¹	157	x u a i ⁵¹	
Beijing		bad	1292	1292	lai⁵¹	158	l a i ⁵¹	
Jinan		bad	1292	1292	xuɛ²¹	157	x u ɛ ²¹	
Jinan		bad	1292	1292	nɔ²¹³	159	n ɔ ²¹³	
Shenyang		bad	1292	1292	xuai⁴¹	157	x u a i ⁴¹	
Xian		bad	1292	1292	xuæ⁴³	157	x u æ ⁴³	
Xian		bad	1292	1292	xɑ²¹	160	x ɑ ²¹	
Chengdu		bad	1292	1292	xuai¹³	157	x u a i ¹³	
Kunming		bad	1292	1292	xuɛ¹³	157	x u ɛ ¹³	
Hefei		bad	1292	1292	xuɛ⁵³	157	x u ɛ ⁵³	
Yangzhou		bad	1292	1292	xuɛ⁵⁵	157	x u ɛ ⁵⁵	
Suzhou		bad	1292	1292	uɒ⁵¹³	157	u ɒ ⁵¹³	
Suzhou		bad	1292	1292	tɕʰiʏ⁴⁴	161	tɕʰ i ʏ ⁴⁴	
Wenzhou		bad	1292	1292	mɜ³¹	162	m ɜ ³¹	
Changsha		bad	1292	1292	fai²¹	157	f a i ²¹	
Nanchang		bad	1292	1292	fai³¹	157	f a i ³¹	
Meixian		bad	1292	1292	fai⁴²	157	f a i ⁴²	
Guangzhou		bad	1292	1292	wai²²	157	w a i ²²	
Yangjiang		bad	1292	1292	wai⁴⁵⁴	157	w a i ⁴⁵⁴	
Xiamen		bad	1292	1292	pʰãĩ⁵¹	163	pʰ ã ĩ ∼ ⁵¹	
Xiamen		bad	1292	1292	mãĩ⁵¹	164	m ã ĩ ∼ ⁵¹	
Chaozhou		bad	1292	1292	hai¹¹	165	h a i ¹¹	
Fuzhou		bad	1292	1292	pʰai³¹	163	pʰ a i ³¹	
Fuzhou		bad	1292	1292	ŋai⁵²	166	ŋ a i ⁵²	
Beijing		dirty	1230	1230	tsaŋ⁵⁵	120	ts a ŋ ⁵⁵	
Jinan		dirty	1230	1230	tsaŋ²¹³	120	ts a ŋ ²¹³	
Shenyang		dirty	1230	1230	mai³⁵tʰai⁰	122	m a i ³⁵ tʰ a i ⁰	
