language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Suzhou		hard	1884	1884	ŋaŋ³¹	700	ŋ a ŋ ³¹	
Beijing		hard	1884	1884	iŋ⁵¹	700	i ŋ ⁵¹	
Jinan		hard	1884	1884	iŋ²¹	700	i ŋ ²¹	
Shenyang		hard	1884	1884	iŋ⁴¹	700	i ŋ ⁴¹	
Xian		hard	1884	1884	ȵiŋ⁴⁵	700	nʲ i ŋ ⁴⁵	
Chengdu		hard	1884	1884	ŋən¹³	700	ŋ ə n ¹³	
Kunming		hard	1884	1884	ə̃¹³	700	ə̃ ∼ ¹³	
Hefei		hard	1884	1884	ʐən⁵³	700	ʐ ə n ⁵³	
Yangzhou		hard	1884	1884	iŋ⁵⁵	700	i ŋ ⁵⁵	
Wenzhou		hard	1884	1884	ŋɛ¹¹	700	ŋ ɛ ¹¹	
Changsha		hard	1884	1884	ŋən²¹	700	ŋ ə n ²¹	
Nanchang		hard	1884	1884	ŋaŋ³¹	700	ŋ a ŋ ³¹	
Meixian		hard	1884	1884	ŋaŋ⁴²	700	ŋ a ŋ ⁴²	
Guangzhou		hard	1884	1884	ŋaŋ²²	700	ŋ a ŋ ²²	
Yangjiang		hard	1884	1884	ŋaŋ⁴⁵⁴	700	ŋ a ŋ ⁴⁵⁴	
Xiamen		hard	1884	1884	ŋĩ³³	700	ŋ ĩ ∼ ³³	
Chaozhou		hard	1884	1884	ŋe³⁵	700	ŋ e ³⁵	
Fuzhou		hard	1884	1884	ŋaiŋ²⁴²	700	ŋ a i ŋ ²⁴²	
Beijing		horizontal	2376	2376	xəŋ³⁵	83	x ə ŋ ³⁵	
Jinan		horizontal	2376	2376	xəŋ⁴²	83	x ə ŋ ⁴²	
Shenyang		horizontal	2376	2376	xəŋ³⁵	83	x ə ŋ ³⁵	
Xian		horizontal	2376	2376	ɕye²⁴	84	ɕ y e ²⁴	
Chengdu		horizontal	2376	2376	xuən³¹	83	x u ə n ³¹	
Kunming		horizontal	2376	2376	xuə̃³¹	83	x u ə̃ ∼ ³¹	
Hefei		horizontal	2376	2376	xʊ̃⁵⁵	83	x ʊ̃ ∼ ⁵⁵	
Yangzhou		horizontal	2376	2376	xoŋ³⁴	83	x o ŋ ³⁴	
Suzhou		horizontal	2376	2376	ɦuaŋ²⁴	83	ɦ u a ŋ ²⁴	
Wenzhou		horizontal	2376	2376	viɛ³¹	83	v i ɛ ³¹	
Changsha		horizontal	2376	2376	fən¹³	83	f ə n ¹³	
Nanchang		horizontal	2376	2376	uaŋ⁵⁵	83	u a ŋ ⁵⁵	
Meixian		horizontal	2376	2376	vaŋ¹²	83	v a ŋ ¹²	
Guangzhou		horizontal	2376	2376	waŋ²¹	83	w a ŋ ²¹	
Yangjiang		horizontal	2376	2376	waŋ⁴⁴³	83	w a ŋ ⁴⁴³	
Xiamen		horizontal	2376	2376	hũãĩ²⁴	83	h ũ ã ĩ ∼ ²⁴	
Chaozhou		horizontal	2376	2376	hũẽ⁵⁵	83	h ũ ẽ ∼ ⁵⁵	
Fuzhou		horizontal	2376	2376	xuaŋ⁵²	83	x u a ŋ ⁵²	
Beijing		inside	1606	1606	li²¹⁴₂₁tʰou⁰	925	l i ²¹⁴ tʰ o u ⁰	
Beijing		inside	1606	1606	li²¹⁴₂₁pianr⁰	926	l i ²¹⁴ p i a n r ⁰	
Jinan		inside	1606	1606	li⁵⁵pɛr⁰	926	l i ⁵⁵ p ɛ r ⁰	
Shenyang		inside	1606	1606	li²¹³₂₁tʰou⁰	925	l i ²¹³ tʰ o u ⁰	
Xian		inside	1606	1606	li⁵³tʰou⁰	925	l i ⁵³ tʰ o u ⁰	
Chengdu		inside	1606	1606	xəu¹³₅₃tʰəu³¹	930	x ə u ¹³ tʰ ə u ³¹	
Chengdu		inside	1606	1606	i⁵³tʰəu³¹	925	i ⁵³ tʰ ə u ³¹	
Kunming		inside	1606	1606	i⁵³ʂəu⁵³	927	i ⁵³ ʂ ə u ⁵³	
Hefei		inside	1606	1606	zๅ²⁴tʰɯ⁰	925	z ɿ ²⁴ tʰ ɯ ⁰	
Yangzhou		inside	1606	1606	li⁴²tʰɤɯ⁰	925	l i ⁴² tʰ ɤ ɯ ⁰	
Suzhou		inside	1606	1606	li³¹₂₂ɕiaŋ⁵¹³₄₄	928	l i ³¹ ɕ i a ŋ ⁵¹³	
Wenzhou		inside	1606	1606	tei⁴⁵mai¹¹	931	t e i ⁴⁵ m a i ¹¹	
Changsha		inside	1606	1606	li⁴¹təu⁰	925	l i ⁴¹ t ə u ⁰	
Nanchang		inside	1606	1606	li²¹³tʰɛu²⁴	925	l i ²¹³ tʰ ɛ u ²⁴	
Meixian		inside	1606	1606	ti⁴⁴pɔi⁴²	934	t i ⁴⁴ p ɔ i ⁴²	
Guangzhou		inside	1606	1606	løy²³pin²²	929	l ø y ²³ p i n ²²	
Guangzhou		inside	1606	1606	jɐp²pin²²	936	j ɐ p ² p i n ²²	
Yangjiang		inside	1606	1606	lei²¹tʰɐu⁴⁴³	925	l e i ²¹ tʰ ɐ u ⁴⁴³	
Xiamen		inside	1606	1606	lai³³₁₁bin³³	937	l a i ³³ b i n ³³	
